x_m, y_m, psi_rad
99.401843,-31.089307,-2.607222
97.701399,-32.095636,-2.661652
95.926396,-33.019587,-2.736257
94.084461,-33.809956,-2.811642
92.195925,-34.456722,-2.878265
90.267569,-34.976584,-2.933519
88.306170,-35.390693,-2.978123
86.335451,-35.715745,-3.017344
84.347787,-35.963988,-3.050286
82.366054,-36.145439,-3.074800
80.369070,-36.279022,-3.098029
78.377170,-36.365851,-3.117576
76.384422,-36.413719,-3.133238
74.385744,-36.430417,-3.145498
72.390454,-36.422624,-3.153866
70.395165,-36.398134,-3.159994
68.399028,-36.361398,-3.164473
66.404586,-36.315757,-3.166115
64.407602,-36.266777,-3.166136
62.412313,-36.217796,-3.164453
60.416176,-36.172155,-3.161101
58.419192,-36.133194,-3.157771
56.423903,-36.100911,-3.153303
54.427766,-36.077534,-3.148839
52.430782,-36.063062,-3.143266
50.434646,-36.059723,-3.137691
48.437662,-36.067515,-3.132674
46.440678,-36.085326,-3.127652
44.444541,-36.113156,-3.122077
42.448405,-36.152118,-3.117607
40.453115,-36.199985,-3.113159
38.456979,-36.256758,-3.109245
36.461689,-36.321323,-3.105901
34.466400,-36.392568,-3.102542
32.471958,-36.470492,-3.100905
30.475821,-36.551755,-3.102542
28.481379,-36.629678,-3.105977
26.481853,-36.700923,-3.107573
24.486564,-36.768828,-3.107515
22.494664,-36.836733,-3.104740
20.501916,-36.910204,-3.093943
18.517641,-37.004825,-3.084433
16.513879,-37.119484,-3.091102
14.531299,-37.219672,-3.112182
12.525842,-37.278671,-3.153850
10.528011,-37.254181,-3.217878
8.532722,-37.101673,-3.292516
6.563697,-36.802224,-3.372434
4.621785,-36.345814,-3.455890
2.738333,-35.733557,-3.538983
0.887078,-34.956546,-3.624191
-0.882841,-34.029255,-3.738398
-2.563799,-32.887117,-3.885654
-4.010066,-31.555736,-4.083923
-5.193683,-29.927132,-4.303630
-5.968076,-28.139341,-4.497376
-6.394246,-26.187910,-4.659437
-6.500153,-24.189725,-4.816493
-6.291728,-22.194880,-4.963872
-5.796083,-20.265713,-5.090322
-5.060664,-18.413357,-5.180924
-4.165961,-16.645603,-5.243349
-3.156031,-14.925717,-5.268958
-2.093571,-13.218076,-5.248409
-1.063307,-11.483719,-5.179312
-0.157590,-9.687022,-5.056249
0.504118,-7.839119,-4.885385
0.847257,-5.875443,-4.717960
0.858271,-3.898409,-4.572055
0.578676,-1.919148,-4.419531
0.000000,0.000000,-4.419531
