timestamp,latitude,longitude,throttle,steering,fix
2026-05-01-14-59-56.698048,40.4376861667,-86.9444263333,0.14547882438708679,2204,3D
2026-05-01-14-59-56.724018,40.4376861667,-86.9444263333,0.14547882438708679,2204,3D
2026-05-01-14-59-56.740766,40.4376861667,-86.9444263333,0.14547882438708679,2204,3D
2026-05-01-14-59-56.759125,40.4376861667,-86.9444263333,0.14547882438708679,2204,3D
2026-05-01-14-59-56.787467,40.4376861667,-86.9444263333,0.14547882438708679,2204,3D
2026-05-01-14-59-56.801983,40.4376861667,-86.9444263333,0.14547882438708679,2204,3D
2026-05-01-14-59-56.829085,40.4376861667,-86.9444263333,0.14547882438708679,2204,3D
2026-05-01-14-59-56.857445,40.4376861667,-86.9444263333,0.14547882438708679,2204,3D
2026-05-01-14-59-56.877856,40.4376861667,-86.9444263333,0.14547882438708679,2204,3D
2026-05-01-14-59-56.896373,40.4376861667,-86.9444263333,0.14547882438708679,2204,3D
2026-05-01-14-59-56.913243,40.4376861667,-86.9444263333,0.14547882438708679,2204,3D
2026-05-01-14-59-56.933355,40.4376861667,-86.9444263333,0.14547882438708679,2204,3D
2026-05-01-14-59-56.952963,40.4376861667,-86.9444263333,0.14547882438708679,2204,3D
2026-05-01-14-59-56.973221,40.4376861667,-86.9444263333,0.14547882438708679,2204,3D
2026-05-01-14-59-57.001323,40.4376861667,-86.9444263333,0.14547882438708679,2204,3D
2026-05-01-14-59-57.024943,40.4376861667,-86.9444263333,0.14547882438708679,2204,3D
2026-05-01-14-59-57.048568,40.4376861667,-86.9444263333,0.14547882438708679,2204,3D
2026-05-01-14-59-57.077339,40.4376861667,-86.9444263333,0.14547882438708679,2204,3D
2026-05-01-14-59-57.106571,40.4376861667,-86.9444263333,0.14547882438708679,2204,3D
2026-05-01-14-59-57.129305,40.4376861667,-86.9444261667,0.17370000722703183,2098,3D
2026-05-01-14-59-57.153609,40.4376861667,-86.9444261667,0.14184294709082979,2218,3D
2026-05-01-14-59-57.175576,40.4376861667,-86.9444261667,0.14184294709082979,2218,3D
2026-05-01-14-59-57.190624,40.4376861667,-86.9444261667,0.14184294709082979,2218,3D
2026-05-01-14-59-57.210032,40.4376861667,-86.9444261667,0.14184294709082979,2218,3D
2026-05-01-14-59-57.229562,40.4376861667,-86.9444261667,0.14184294709082979,2218,3D
2026-05-01-14-59-57.251551,40.4376861667,-86.9444261667,0.14184294709082979,2218,3D
2026-05-01-14-59-57.270307,40.4376861667,-86.9444261667,0.14184294709082979,2218,3D
2026-05-01-14-59-57.298926,40.4376861667,-86.9444261667,0.14184294709082979,2218,3D
2026-05-01-14-59-57.315324,40.4376861667,-86.9444261667,0.14184294709082979,2218,3D
2026-05-01-14-59-57.340131,40.4376861667,-86.9444261667,0.14184294709082979,2218,3D
2026-05-01-14-59-57.364688,40.4376861667,-86.9444261667,0.14184294709082979,2218,3D
2026-05-01-14-59-57.381248,40.4376861667,-86.9444261667,0.14184294709082979,2218,3D
2026-05-01-14-59-57.399872,40.4376861667,-86.9444261667,0.14184294709082979,2218,3D
2026-05-01-14-59-57.419538,40.4376861667,-86.9444261667,0.14184294709082979,2218,3D
2026-05-01-14-59-57.438989,40.4376861667,-86.9444261667,0.14184294709082979,2218,3D
2026-05-01-14-59-57.459100,40.4376861667,-86.9444261667,0.14184294709082979,2218,3D
2026-05-01-14-59-57.479862,40.4376861667,-86.9444261667,0.14184294709082979,2218,3D
2026-05-01-14-59-57.505307,40.4376861667,-86.9444261667,0.14184294709082979,2218,3D
2026-05-01-14-59-57.528010,40.4376861667,-86.9444261667,0.14184294709082979,2218,3D
2026-05-01-14-59-57.543551,40.4376861667,-86.9444261667,0.14184294709082979,2218,3D
2026-05-01-14-59-57.565399,40.4376861667,-86.9444261667,0.14184294709082979,2218,3D
2026-05-01-14-59-57.585678,40.4376861667,-86.9444261667,0.14184294709082979,2218,3D
2026-05-01-14-59-57.608759,40.4376861667,-86.9444261667,0.14184294709082979,2218,3D
2026-05-01-14-59-57.625409,40.4376861667,-86.9444261667,0.14184294709082979,2218,3D
2026-05-01-14-59-57.647529,40.4376861667,-86.9444261667,0.14184294709082979,2218,3D
2026-05-01-14-59-57.665487,40.4376861667,-86.9444261667,0.14184294709082979,2218,3D
2026-05-01-14-59-57.684641,40.4376861667,-86.9444261667,0.14184294709082979,2218,3D
2026-05-01-14-59-57.705073,40.4376861667,-86.9444261667,0.14184294709082979,2218,3D
2026-05-01-14-59-57.725396,40.4376861667,-86.9444261667,0.14184294709082979,2218,3D
2026-05-01-14-59-57.745684,40.4376861667,-86.9444261667,0.14184294709082979,2218,3D
2026-05-01-14-59-57.766358,40.4376861667,-86.9444261667,0.14184294709082979,2218,3D
2026-05-01-14-59-57.785871,40.4376861667,-86.9444261667,0.14184294709082979,2218,3D
2026-05-01-14-59-57.805915,40.4376861667,-86.9444261667,0.14184294709082979,2218,3D
2026-05-01-14-59-57.825992,40.4376861667,-86.9444261667,0.14184294709082979,2218,3D
2026-05-01-14-59-57.849611,40.4376861667,-86.9444261667,0.14184294709082979,2218,3D
