# s_m, x_m, y_m,longitude,latitude, psi_rad, kappa_radpm, vx_mps, ax_mps2
89.6886416, 49.1561713, 115.2241322,-86.94381883,40.43873682, -2.5574895, -0.0387380, 14.4250585, 1.4528935
91.6817225, 50.1907341, 113.5208944,-86.9438066,40.4387215, -2.6335978, -0.0375413, 14.6244241, 1.8602409
93.6748034, 51.0947902, 111.7482341,-86.94379591,40.43870555, -2.7052443, -0.0343207, 14.8757858, 2.3300559
95.6678844, 51.8769061, 109.9153644,-86.94378666,40.43868905, -2.7697820, -0.0296983, 15.1847615, 2.8695474
97.6609653, 52.5504015, 108.0366435,-86.9437787,40.43867215, -2.8229607, -0.0236486, 15.5568462, 4.0651995
99.6540462, 53.1341784, 106.1337894,-86.9437718,40.43865502, -2.8622896, -0.0158906, 16.0692254, 4.7249055
101.6471271, 53.6582262, 104.2101244,-86.9437656,40.43863771, -2.8864822, -0.0084280, 16.6449465, 5.4258946
103.6402081, 54.1501237, 102.2766480,-86.94375979,40.43862032, -2.8960446, -0.0011882, 17.2824402, 5.3062686
105.6332890, 54.6364285, 100.3457489,-86.94375404,40.43860294, -2.8913496, 0.0058781, 17.8839141, 3.4035685
107.6263699, 55.1456731, 98.4187194,-86.94374802,40.4385856, -2.8730334, 0.0121582, 18.2592869, 1.3266215
109.6194508, 55.7017742, 96.5031339,-86.94374144,40.43856836, -2.8432303, 0.0177133, 18.4035237, -3.2550815
111.6125318, 56.3235145, 94.6102520,-86.94373409,40.43855133, -2.8039002, 0.0217602, 18.0475595, -3.3123714
113.6056127, 57.0274424, 92.7441558,-86.94372577,40.43853454, -2.7567085, 0.0251837, 17.6779738, -3.2833292
115.5986936, 57.8231868, 90.9177798,-86.94371636,40.43851811, -2.7037302, 0.0280641, 17.3038399, -2.8546158
117.5917745, 58.7197284, 89.1340496,-86.94370576,40.43850206, -2.6482887, 0.0273121, 16.9718565, -2.3838991
119.5848555, 59.7142568, 87.3987638,-86.943694,40.43848644, -2.5941229, 0.0271843, 16.6895568, -1.8356753
121.5779364, 60.7931494, 85.7339741,-86.94368125,40.43847146, -2.5382196, 0.0296688, 16.4688800, -1.1249438
123.5710173, 61.9916470, 84.1035328,-86.94366708,40.43845679, -2.4764558, 0.0321130, 16.3321707, -1.1416581
125.5640982, 63.2740169, 82.5804485,-86.94365192,40.43844308, -2.4035441, 0.0422027, 16.1922502, -1.1878245
127.5571791, 64.6471100, 81.1965725,-86.94363568,40.43843063, -2.3148955, 0.0478911, 16.0453764, -1.1668309
129.5502601, 66.1675454, 79.9202826,-86.94361771,40.43841915, -2.2266423, 0.0393017, 15.8997776, -0.9872989
131.5433410, 67.7942204, 78.7634887,-86.94359847,40.43840874, -2.1524223, 0.0357963, 15.7755315, -0.6209074
133.5364219, 69.4956318, 77.7255582,-86.94357836,40.4383994, -2.0869083, 0.0299945, 15.6968901, -0.3926020
135.5295028, 71.2723711, 76.7854489,-86.94355735,40.43839094, -2.0280780, 0.0298470, 15.6469608, -0.1498706
137.5225838, 73.0853491, 75.9615119,-86.94353592,40.43838353, -1.9655670, 0.0330753, 15.6278589, 0.0898584
139.5156647, 74.9508273, 75.2571007,-86.94351386,40.43837719, -1.8975433, 0.0349230, 15.6393147, 0.1199492
141.5087456, 76.8564636, 74.6850735,-86.94349133,40.43837204, -1.8270207, 0.0357369, 15.6545936, 0.1276765
143.5018265, 78.8017137, 74.2490597,-86.94346833,40.43836812, -1.7554928, 0.0359713, 15.6708404, -0.0899975
145.4949075, 80.7695608, 73.9540542,-86.94344507,40.43836546, -1.6836298, 0.0362102, 15.6593900, -0.3358448
147.4879884, 82.7544315, 73.8014191,-86.9434216,40.43836409, -1.6114225, 0.0363213, 15.6165862, -0.5648481
149.4810693, 84.7505292, 73.7927495,-86.943398,40.43836401, -1.5388536, 0.0362199, 15.5443298, -1.0087428
151.4741502, 86.7341759, 73.9266082,-86.94337455,40.43836521, -1.4685665, 0.0344556, 15.4144470, -1.1069188
153.4672312, 88.7099352, 74.1972895,-86.94335119,40.43836765, -1.4007758, 0.0342330, 15.2706522, -1.2303322
155.4603121, 90.6657151, 74.6034501,-86.94332807,40.4383713, -1.3306486, 0.0361056, 15.1092195, -2.3209463
157.4533930, 92.5860070, 75.1487461,-86.94330536,40.43837621, -1.2569439, 0.0380212, 14.7998935, -2.5675250
159.4464739, 94.4623429, 75.8397496,-86.94328318,40.43838243, -1.1781260, 0.0404515, 14.4499923, -2.7797913
161.4395549, 96.2612367, 76.6726971,-86.94326191,40.43838992, -1.0951449, 0.0435775, 14.0613505, -2.9501133
163.4326358, 98.0037435, 77.6704467,-86.94324131,40.4383989, -1.0056282, 0.0458923, 13.6367866, -3.0212427
165.4257167, 99.6371138, 78.8174421,-86.943222,40.43840922, -0.9103407, 0.0494255, 13.1878272, -3.1051008
167.4187976, 101.1373933, 80.1081450,-86.94320426,40.43842084, -0.8091352, 0.0534983, 12.7098919, -3.2283880
169.4118786, 102.4977918, 81.5562210,-86.94318818,40.43843387, -0.6979725, 0.0572950, 12.1931323, -3.4242454
171.4049595, 103.6853459, 83.1511128,-86.94317414,40.43844822, -0.5810998, 0.0600948, 11.6199346, -3.6654609
173.3980404, 104.6717749, 84.8739899,-86.94316247,40.43846372, -0.4561396, 0.0676277, 10.9732292, -4.0389878
175.3911213, 105.4206298, 86.7168873,-86.94315362,40.43848031, -0.3132665, 0.0753650, 10.2133100, -4.4120961
177.3842023, 105.8878261, 88.6633728,-86.94314809,40.43849782, -0.1558084, 0.0814604, 9.3125921, -4.4310039
179.3772832, 106.0311569, 90.6500193,-86.9431464,40.4385157, 0.0158257, 0.0936844, 8.3103353, -1.3906881
181.3703641, 105.7964012, 92.6479433,-86.94314917,40.43853367, 0.2224457, 0.1082385, 7.9698284, 0.5576271
183.3634450, 105.1422146, 94.5164692,-86.94315691,40.43855049, 0.4585905, 0.1270190, 8.1080797, 1.2435981
185.3565260, 104.0579553, 96.1658748,-86.94316973,40.43856533, 0.6997810, 0.1136562, 8.4082186, 1.2216564
187.3496069, 102.6163412, 97.5330059,-86.94318677,40.43857763, 0.9219514, 0.1074562, 8.6929776, 2.7192596
189.3426878, 100.9285427, 98.5683808,-86.94320673,40.43858695, 1.1088161, 0.0784682, 9.2955510, 4.4843017
191.3357687, 99.1076829, 99.3290606,-86.94322825,40.43859379, 1.2259419, 0.0326796, 10.2118765, 5.6646264
193.3288496, 97.2155308, 99.9765035,-86.94325062,40.43859962, 1.2417092, -0.0086994, 11.2633272, 5.3289615
195.3219306, 95.3363061, 100.6444934,-86.94327284,40.43860563, 1.2134284, -0.0189698, 12.1698251, 0.6979343
197.3150115, 93.4850113, 101.3844331,-86.94329473,40.43861229, 1.1625207, -0.0336684, 12.2835956, -1.2861165
199.3080924, 91.6658871, 102.2586815,-86.94331624,40.43862016, 1.0774545, -0.0491094, 12.0731128, -3.8675033
201.3011733, 89.9461979, 103.3009703,-86.94333657,40.43862953, 0.9710959, -0.0589821, 11.4168103, -3.6899330
203.2942543, 88.3429415, 104.5612052,-86.94335552,40.43864087, 0.8349784, -0.0682612, 10.7533664, -3.3415927
205.2873352, 86.9997907, 105.9541968,-86.9433714,40.43865341, 0.6949892, -0.0858527, 10.1150758, -0.8876801
207.2804161, 85.9088824, 107.6033323,-86.9433843,40.43866825, 0.4586609, -0.1260898, 9.9386278, -0.3313211
209.2734970, 85.2540000, 109.4239073,-86.94339204,40.43868463, 0.2439858, -0.0887856, 9.8719614, 1.2070626
211.2665780, 84.9119715, 111.3860170,-86.94339609,40.43870229, 0.1157207, -0.0469920, 10.1127232, 1.8241354
213.2596589, 84.7658370, 113.4354919,-86.94339782,40.43872073, 0.0283937, -0.0410296, 10.4660627, 2.1820066
215.2527398, 84.7910030, 115.4315928,-86.94339752,40.43873869, -0.0539684, -0.0421392, 10.8736516, 3.2208048
217.2458207, 84.9848885, 117.4061638,-86.94339522,40.43875646, -0.1445177, -0.0493839, 11.4487968, 4.1284006
219.2389017, 85.3656239, 119.3477392,-86.94339072,40.43877393, -0.2409267, -0.0421854, 12.1462514, 5.3981721
221.2319826, 85.9080239, 121.2686412,-86.94338431,40.43879121, -0.3021813, -0.0201572, 13.0019002, 5.2791289
223.2250635, 86.5279076, 123.1926282,-86.94337698,40.43880853, -0.3063405, 0.0216844, 13.7874172, 4.6808882
225.2181444, 87.0503568, 125.1075944,-86.9433708,40.43882576, -0.2112685, 0.0589516, 14.4482404, 3.0684052
227.2112254, 87.3692426, 127.0597245,-86.94336703,40.43884332, -0.1232633, 0.0268784, 14.8654906, -0.5047828
229.2043063, 87.5593592, 129.0457985,-86.94336479,40.43886119, -0.0638883, 0.0357325, 14.7976574, -0.7909605
231.1973872, 87.6070786, 131.0256624,-86.94336422,40.43887901, 0.0196938, 0.0474907, 14.6907375, -0.4943347
233.1904681, 87.4724918, 133.0013558,-86.94336581,40.43889679, 0.1164428, 0.0477586, 14.6235177, 0.2710891
235.1835491, 87.1482679, 134.9794372,-86.94336964,40.43891459, 0.2066288, 0.0422146, 14.6604186, 1.5421973
237.1766300, 86.6697352, 136.9014157,-86.9433753,40.43893188, 0.2766279, 0.0286056, 14.8686019, 0.1258163
239.1697109, 86.0723021, 138.8212238,-86.94338237,40.43894916, 0.3223666, 0.0148621, 14.8854575, -2.2252896
241.1627918, 85.4237598, 140.7081446,-86.94339003,40.43896614, 0.3336618, -0.0034781, 14.5844603, -7.1382547
243.1558728, 84.7838531, 142.6117109,-86.9433976,40.43898326, 0.3091055, -0.0211457, 13.5739546, -6.9233269
245.1489537, 84.2308076, 144.5250853,-86.94340414,40.43900048, 0.2468761, -0.0410581, 12.5161792, -5.3409341
247.1420346, 83.8373102, 146.4694363,-86.94340879,40.43901798, 0.1457740, -0.0613136, 11.6346428, -4.4664332
249.1351155, 83.6767668, 148.4585244,-86.94341069,40.43903588, 0.0126702, -0.0702906, 10.8425545, -4.2283239
251.1281964, 83.7950467, 150.4464425,-86.94340929,40.43905376, -0.1338513, -0.0776142, 10.0352481, -3.6298606
253.1212774, 84.2190874, 152.3856259,-86.94340427,40.43907121, -0.3016566, -0.0920245, 9.2863875, -1.2519936
255.1143583, 84.9885768, 154.2188660,-86.94339518,40.43908771, -0.4968899, -0.1031501, 9.0136754, -0.8099900
257.1074392, 86.1090266, 155.8575393,-86.94338193,40.43910245, -0.7018315, -0.1017712, 8.8327568, -0.7290014
259.1005201, 87.5445593, 157.2449313,-86.94336496,40.43911494, -0.9015623, -0.0980346, 8.6666992, -0.2913177
261.0936011, 89.2194895, 158.3183084,-86.94334515,40.4391246, -1.1030053, -0.1054921, 8.5994439, 0.8064307
263.0866820, 91.0747144, 159.0205390,-86.94332322,40.43913092, -1.3149078, -0.1054788, 8.7843610, 1.7318058
265.0797629, 93.0294220, 159.3268441,-86.94330011,40.43913367, -1.5107729, -0.0904327, 9.1688744, 1.6405625
267.0728438, 95.0110107, 159.2787928,-86.94327668,40.43913324, -1.6753816, -0.0782267, 9.5188132, 1.6277144
269.0659248, 96.9807172, 158.9165643,-86.94325339,40.43912998, -1.8294612, -0.0766567, 9.8537372, 1.6541438
271.0590057, 98.8678263, 158.2573291,-86.94323108,40.43912405, -1.9852782, -0.0795622, 10.1828200, 1.8924900
273.0520866, 100.6128544, 157.3246020,-86.94321045,40.43911566, -2.1348351, -0.0705887, 10.5467338, 2.1650358
275.0451675, 102.2253347, 156.1461592,-86.94319139,40.43910505, -2.2647013, -0.0576223, 10.9482317, 2.4979284
277.0382485, 103.6926280, 154.7877273,-86.94317404,40.43909283, -2.3665453, -0.0451975, 11.3938985, 3.1267446
279.0313294, 105.0317791, 153.3038340,-86.9431582,40.43907948, -2.4436150, -0.0315421, 11.9283123, 3.5219281
281.0244103, 106.2705121, 151.7432484,-86.94314356,40.43906543, -2.4942478, -0.0219111, 12.5029440, 4.0729367
283.0174912, 107.4373483, 150.1303273,-86.94312976,40.43905092, -2.5355621, -0.0194489, 13.1361712, 4.5760952
285.0105722, 108.5427757, 148.4723430,-86.9431167,40.439036, -2.5698303, -0.0145638, 13.8130391, 4.9271036
287.0036531, 109.5995287, 146.7830843,-86.9431042,40.4390208, -2.5937110, -0.0098873, 14.5065600, 5.2843569
288.9967340, 110.6224219, 145.0728756,-86.94309211,40.43900541, -2.6104094, -0.0068550, 15.2152747, 5.4509141
290.9898149, 111.6218776, 143.3482528,-86.94308029,40.43898989, -2.6215875, -0.0045385, 15.9132904, 5.5760365
292.9828959, 112.6052947, 141.6153627,-86.94306867,40.4389743, -2.6285343, -0.0024145, 16.5969815, 5.5327777
294.9759768, 113.5806432, 139.8773259,-86.94305713,40.43895866, -2.6311469, -0.0002039, 17.2486041, 5.4942073
296.9690577, 114.5550957, 138.1387841,-86.94304561,40.43894302, -2.6297857, 0.0014216, 17.8721891, 5.5284224
298.9621386, 115.5343848, 136.4031299,-86.94303404,40.4389274, -2.6255748, 0.0026629, 18.4784287, 5.4782560
300.9552196, 116.5227977, 134.6723936,-86.94302235,40.43891182, -2.6196008, 0.0033322, 19.0601559, 5.4426576
302.9483005, 117.5226430, 132.9480508,-86.94301053,40.43889631, -2.6125748, 0.0036195, 19.6210310, 5.4685028
304.9413814, 118.5347763, 131.2311648,-86.94299856,40.43888086, -2.6052200, 0.0037121, 20.1688670, 5.4280768
306.9344623, 119.5595633, 129.5216982,-86.94298645,40.43886548, -2.5979312, 0.0036022, 20.6983185, 5.3995125
308.9275433, 120.5967431, 127.8194177,-86.94297418,40.43885016, -2.5908361, 0.0035248, 21.2118768, 5.4207073
310.9206242, 121.6456079, 126.1248696,-86.94296178,40.43883491, -2.5838762, 0.0034599, 21.7152374, 5.3858221
312.9137051, 122.7062466, 124.4374129,-86.94294924,40.43881973, -2.5770449, 0.0033953, 22.2040603, 5.3593711
314.9067860, 123.7784508, 122.7569003,-86.94293657,40.4388046, -2.5703481, 0.0033209, 22.6800268, 5.3765569
316.8998669, 124.8613976, 121.0840678,-86.94292376,40.43878955, -2.5638230, 0.0031819, 23.1476876, 5.3482901
318.8929479, 125.9550303, 119.4178582,-86.94291084,40.43877456, -2.5578043, 0.0028572, 23.6036986, 5.3255737
320.8860288, 127.0582125, 117.7575314,-86.94289779,40.43875962, -2.5527124, 0.0021627, 24.0491827, 5.3415399
322.8791097, 128.1680893, 116.1026273,-86.94288467,40.43874473, -2.5492465, 0.0012297, 24.4878629, 5.3215436
324.8721906, 129.2821079, 114.4501108,-86.9428715,40.43872986, -2.5480461, -0.0000262, 24.9172223, 5.2593759
326.8652716, 130.3962313, 112.7971165,-86.94285833,40.43871498, -2.5494973, -0.0014702, 25.3344171, 4.3473813
328.8583525, 131.5045537, 111.1423417,-86.94284523,40.43870009, -2.5537549, -0.0024154, 25.6741515, 2.1644059
330.8514334, 132.6059063, 109.4815297,-86.9428322,40.43868515, -2.5581830, -0.0020194, 25.8416278, -1.2244325
332.8445143, 133.6970831, 107.8190178,-86.9428193,40.43867019, -2.5644254, -0.0048413, 25.7470181, -3.0000408
334.8375953, 134.7757805, 106.1406034,-86.94280655,40.43865509, -2.5773112, -0.0076779, 25.5137275, -5.1806150
336.8306762, 135.8284712, 104.4468853,-86.9427941,40.43863985, -2.5942059, -0.0092640, 25.1057667, -5.5284463
338.8237571, 136.8492444, 102.7317832,-86.94278204,40.43862441, -2.6171802, -0.0145944, 24.6629731, -5.5211446
340.8168380, 137.8193478, 100.9879159,-86.94277057,40.43860872, -2.6524733, -0.0190365, 24.2126840, -5.3466026
342.8099190, 138.7240996, 99.2115274,-86.94275987,40.43859274, -2.6876270, -0.0162313, 23.7685010, -5.1975007
344.8029999, 139.5696184, 97.4095879,-86.94274987,40.43857652, -2.7171718, -0.0133841, 23.3285997, -5.0539708
346.7960808, 140.3654404, 95.5898211,-86.94274047,40.43856015, -2.7400058, -0.0080600, 22.8927416, -4.8601975
348.7891617, 141.1353019, 93.7567320,-86.94273136,40.43854365, -2.7440268, 0.0037619, 22.4656200, -4.6397426
350.7822427, 141.9182393, 91.9167581,-86.94272211,40.4385271, -2.7371098, -0.0019373, 22.0501546, -4.4929422
352.7753236, 142.6960306, 90.0678638,-86.94271291,40.43851046, -2.7540588, -0.0144696, 21.6402339, -4.3941311
354.7684045, 143.4287428, 88.1825899,-86.94270425,40.43849349, -2.7905362, -0.0228536, 21.2316746, -4.4267472
356.7614854, 144.0618926, 86.2923170,-86.94269677,40.43847648, -2.8512759, -0.0375519, 20.8119743, -4.3987253
358.7545664, 144.5446500, 84.4125878,-86.94269106,40.43845957, -2.9298531, -0.0390533, 20.3863740, -4.2539257
360.7476473, 144.8998868, 82.4392285,-86.94268686,40.43844181, -2.9908711, -0.0207966, 19.9661566, -3.8564458
362.7407282, 145.1576862, 80.4938045,-86.94268381,40.43842431, -3.0278789, -0.0177737, 19.5774102, -3.7150499
364.7338091, 145.3512199, 78.4877583,-86.94268152,40.43840626, -3.0620351, -0.0151623, 19.1954734, -3.5917266
366.7268901, 145.4822551, 76.4899808,-86.94267997,40.43838828, -3.0891953, -0.0124500, 18.8188468, -3.5430756
368.7199710, 145.5568211, 74.4945451,-86.94267909,40.43837032, -3.1219331, -0.0203940, 18.4397864, -3.4946259
370.7130519, 145.5506585, 72.5035073,-86.94267917,40.43835241, 3.1140454, -0.0254681, 18.0581167, -3.4457326
372.7061328, 145.4441993, 70.5155982,-86.94268043,40.43833452, 3.0615526, -0.0272225, 17.6737187, -3.4230250
374.6992138, 145.2297724, 68.5339700,-86.94268296,40.43831669, 3.0054345, -0.0290877, 17.2833909, -3.3037327
376.6922947, 144.9011292, 66.5690043,-86.94268685,40.43829901, 2.9458702, -0.0304105, 16.8981178, -3.1787277
378.6853756, 144.4540581, 64.6270230,-86.94269213,40.43828153, 2.8845230, -0.0311598, 16.5189426, -2.9514187
380.6784565, 143.8868233, 62.7174143,-86.94269884,40.43826435, 2.8204929, -0.0331723, 16.1589180, -2.8340391
382.6715374, 143.1949041, 60.8497430,-86.94270702,40.43824754, 2.7525468, -0.0348229, 15.8054956, -2.7158510
384.6646184, 142.3743567, 59.0325417,-86.94271672,40.43823119, 2.6820063, -0.0358952, 15.4592325, -1.3096214
386.6576993, 141.4314763, 57.2863443,-86.94272787,40.43821548, 2.6112879, -0.0350163, 15.2894574, -0.9917295
388.6507802, 140.3643095, 55.6002382,-86.94274049,40.43820031, 2.5458030, -0.0269206, 15.1596277, -0.6825383
390.6438611, 139.2084049, 53.9717682,-86.94275416,40.43818565, 2.5080118, -0.0112878, 15.0696253, 0.2819746
392.6369421, 137.9668216, 52.3282290,-86.94276883,40.43817087, 2.4740555, -0.0295726, 15.1068727, 0.5135275
394.6300230, 136.6727665, 50.8323861,-86.94278413,40.43815741, 2.3632559, -0.0832558, 15.1744722, 0.5207966
396.6231039, 135.2083807, 49.5793013,-86.94280145,40.43814613, 2.1989414, -0.0682698, 15.2427224, 0.4594911
398.6161848, 133.5337353, 48.4823046,-86.94282125,40.43813626, 2.1214068, -0.0123719, 15.3026857, 0.3329633
400.6092658, 131.8356539, 47.4780924,-86.94284132,40.43812722, 2.0828812, -0.0276080, 15.3459909, 0.2575842
402.6023467, 130.0636215, 46.5559338,-86.94286227,40.43811892, 2.0152619, -0.0374157, 15.3794086, 0.5516175
404.5954276, 128.2254338, 45.7661533,-86.94288401,40.43811182, 1.9373519, -0.0384007, 15.4507296, 1.6968005
406.5885085, 126.3402003, 45.1201713,-86.9429063,40.43810601, 1.8660111, -0.0337401, 15.6680811, 2.6573755
408.5815895, 124.4146604, 44.6015174,-86.94292906,40.43810134, 1.8040063, -0.0275939, 16.0025465, 3.0767640
410.5746704, 122.4565583, 44.1886792,-86.94295221,40.43809762, 1.7551888, -0.0218226, 16.3812690, 3.1514505
412.5677513, 120.4890875, 43.8642329,-86.94297547,40.4380947, 1.7139932, -0.0196512, 16.7603152, 3.3482231
414.5608322, 118.5053349, 43.6164045,-86.94299893,40.43809247, 1.6773086, -0.0163586, 17.1538545, 3.5290956
416.5539132, 116.5265683, 43.4343965,-86.94302232,40.43809084, 1.6491908, -0.0120850, 17.5591079, 4.0378319
418.5469941, 114.5329756, 43.3016306,-86.94304589,40.43808964, 1.6256027, -0.0114703, 18.0115997, 4.3692040
420.5400750, 112.5443219, 43.2146228,-86.9430694,40.43808886, 1.6039368, -0.0099818, 18.4887554, 4.7080468
422.5331559, 110.5550667, 43.1670208,-86.94309292,40.43808843, 1.5862328, -0.0077941, 18.9895001, 5.1422581
424.5262369, 108.5603610, 43.1505309,-86.94311651,40.43808828, 1.5725056, -0.0059524, 19.5217568, 5.3281853
426.5193178, 106.5683510, 43.1577407,-86.94314006,40.43808835, 1.5623623, -0.0044005, 20.0583647, 5.5102697
428.5123987, 104.5761473, 43.1824591,-86.94316361,40.43808857, 1.5548297, -0.0031588, 20.5986122, 5.4419377
430.5054796, 102.5837751, 43.2197807,-86.94318717,40.4380889, 1.5496878, -0.0020001, 21.1186000, 5.4599851
432.4985606, 100.5920055, 43.2650445,-86.94321071,40.43808931, 1.5468244, -0.0009063, 21.6277519, 5.4761260
434.4916415, 98.5985403, 43.3139603,-86.94323428,40.43808975, 1.5460426, 0.0001081, 22.1266440, 5.3878851
436.4847224, 96.6071695, 43.3625652,-86.94325783,40.43809019, 1.5469863, 0.0008374, 22.6067547, 5.3898004
438.4778033, 94.6144484, 43.4079032,-86.94328139,40.4380906, 1.5493067, 0.0014330, 23.0770443, 5.3960124
440.4708842, 92.6207246, 43.4475807,-86.94330496,40.43809095, 1.5526502, 0.0019125, 23.5384654, 5.3148568
442.4639652, 90.6285718, 43.4797368,-86.94332851,40.43809124, 1.5567634, 0.0022164, 23.9842705, 5.3182647
444.4570461, 88.6354649, 43.5031169,-86.94335207,40.43809145, 1.5614452, 0.0024471, 24.4222173, 5.3251176
446.4501270, 86.6418536, 43.5167856,-86.94337564,40.43809158, 1.5664908, 0.0026124, 24.8529973, 5.2533961
448.4432079, 84.6491087, 43.5201413,-86.9433992,40.43809161, 1.5717530, 0.0026694, 25.2707808, 5.2621646
450.4362889, 82.6558988, 43.5129014,-86.94342277,40.43809154, 1.5771070, 0.0026785, 25.6824493, 5.2701080
452.4293698, 80.6626898, 43.4950263,-86.94344634,40.43809138, 1.5824089, 0.0026415, 26.0882293, 5.2094986
