x_m, y_m, psi_rad
37.035282,-2.738459,2.654972
35.255196,-1.796697,2.593688
33.551363,-0.756973,2.523596
31.921241,0.401863,2.443306
30.398721,1.679811,2.352580
29.022776,3.065739,2.270393
27.738335,4.591929,2.204734
26.537772,6.224986,2.145625
25.457520,7.892552,2.091142
24.461146,9.631362,2.036570
23.563054,11.418040,1.981871
22.765786,13.247019,1.931452
22.060868,15.116074,1.888178
21.438135,17.011845,1.853506
20.880640,18.930993,1.829128
20.370591,20.861273,1.817472
19.883419,22.796005,1.819804
19.391163,24.731851,1.836937
18.865864,26.658792,1.868273
18.281256,28.565695,1.915009
17.606840,30.446994,1.974088
16.823128,32.283766,2.042496
15.917410,34.059311,2.116779
14.881216,35.764726,2.193659
13.717085,37.385538,2.271297
12.428408,38.913954,2.350251
11.023656,40.335504,2.431286
9.502830,41.643508,2.520186
7.892196,42.796778,2.619225
6.165487,43.790861,2.721932
4.356594,44.597928,2.823429
2.463822,45.221317,2.922861
0.500729,45.657689,3.020696
-1.478463,45.898139,3.114853
-3.476294,45.951573,3.207359
-5.470736,45.820216,3.300310
-7.438913,45.505181,3.391119
-9.374047,45.012036,3.480805
-11.257499,44.347459,3.572108
-13.070628,43.514789,3.663596
-14.800726,42.519593,3.758964
-16.428306,41.364096,3.855772
-17.937270,40.056092,3.954900
-19.308979,38.605599,4.058446
-20.524792,37.019297,4.165174
-21.565223,35.311656,4.276561
-22.404007,33.510506,4.392381
-23.035213,31.605830,4.513508
-23.429188,29.651060,4.640212
-23.572374,27.670686,4.769792
-23.457995,25.680293,4.900627
-23.086049,23.727749,5.027005
-22.465857,21.821960,5.144544
-21.627920,20.005226,5.256148
-20.587489,18.284226,5.378692
-19.369134,16.734659,5.507420
-17.944896,15.337599,5.609856
-16.398652,14.104179,5.682215
-14.745655,12.970947,5.717693
-13.049447,11.894488,5.720581
-11.360017,10.829160,5.714768
-9.678213,9.754927,5.697748
-8.015895,8.652864,5.664299
-6.395093,7.498481,5.618405
-4.824279,6.267287,5.546982
-3.339038,4.921435,5.441079
-1.998678,3.419735,5.314788
-0.864202,1.769980,5.166597
0.000000,0.000000,5.166597
