latitude,longitude
40.43788166,-86.94404497
40.43786602,-86.94405674
40.43785283,-86.94407237
40.43784199,-86.94409129
40.43783388,-86.94411227
40.43782852,-86.94413479
40.43782595,-86.94415799
40.43782602,-86.94418156
40.43782842,-86.94420483
40.43783283,-86.9442276
40.43783901,-86.94424969
40.43784674,-86.94427091
40.43785588,-86.94429115
40.43786632,-86.94431031
40.43787792,-86.94432816
40.43789066,-86.94434471
40.43790442,-86.94435979
40.43791905,-86.94437327
40.43793451,-86.94438513
40.43795066,-86.94439531
40.43796735,-86.94440375
40.4379845,-86.94441047
40.43800198,-86.94441545
40.43801968,-86.94441871
40.43803757,-86.94442026
40.4380554,-86.94442005
40.43807319,-86.9444179
40.43809098,-86.94441399
40.43810849,-86.94440885
40.43812595,-86.94440311
40.43814319,-86.94439736
40.43816061,-86.9443918
40.43817796,-86.94438662
40.43819559,-86.94438191
40.43821321,-86.94437806
40.43823113,-86.94437555
40.43824896,-86.94437483
40.438267,-86.94437621
40.43828462,-86.94437993
40.4383017,-86.94438634
40.4383181,-86.94439569
40.43833344,-86.94440774
40.43834741,-86.94442241
40.43835958,-86.9444397
40.43836953,-86.94445906
40.43837756,-86.94448024
40.43838371,-86.94450236
40.43838813,-86.94452517
40.4383907,-86.94454845
40.43839127,-86.94457196
40.43838968,-86.94459541
40.43838587,-86.94461835
40.43837979,-86.94464047
40.43837144,-86.94466141
40.43836111,-86.9446805
40.43834862,-86.94469761
40.43833433,-86.94471146
40.43831837,-86.94472165
40.43830114,-86.94472825
40.43828339,-86.94473125
40.43826554,-86.94473078
40.43824788,-86.94472705
40.43823068,-86.94472068
40.43821393,-86.94471246
40.43819739,-86.9447032
40.43818097,-86.94469381
40.43816434,-86.94468501
40.43814733,-86.94467764
40.43812987,-86.9446725
40.43811196,-86.94467014
40.43809412,-86.94467104
40.43807626,-86.94467573
40.43805979,-86.9446844
40.43804554,-86.94469732
40.43803287,-86.94471425
40.43802209,-86.94473277
40.43801233,-86.94475283
40.43800314,-86.94477317
