latitude,longitude
40.42727398052997,-86.91798747882204
40.42727257368428,-86.91797089692921
40.42726969137995,-86.91795747157181
40.42726872779016,-86.91794110429862
40.42726872779194,-86.91791928088452
40.42726936673782,-86.91790501173568
40.42727032193151,-86.91789241659214
40.42727191464252,-86.91788023626370
40.42727894606243,-86.91786722796324
40.42728499897299,-86.91786591168021
40.42729388835155,-86.91786710512559
40.42730014198860,-86.91787281549857
40.42730421719775,-86.91788427578597
40.42730665684666,-86.91789857777503
40.42730828593699,-86.91791283797939
40.42730774296543,-86.91792959372752
40.42730642562503,-86.91794110424108
40.42730514822352,-86.91795285547151
40.42730451072224,-86.91796502394216
40.42730227615339,-86.91797341364298
40.42730099714964,-86.91798348615536
40.42729875807849,-86.91799482399990
40.42729362899954,-86.91800914132747
40.42728524666148,-86.91801061184150
40.42727748649549,-86.91800427955528
40.42727398052997,-86.91798747882204
