0,0,0.5,0.5
0.421461933,0.0045472,0.5,0.5
0.842923867,0.0090944,0.5,0.5
1.2643858,0.0136416,0.5,0.5
1.685847733,0.0181888,0.5,0.5
2.107309667,0.022736,0.5,0.5
2.5287716,0.0272832,0.5,0.5
2.950233533,0.0318304,0.5,0.5
3.371695467,0.0363776,0.5,0.5
3.7931574,0.0409248,0.5,0.5
4.214619333,0.045472,0.5,0.5
4.636081267,0.0500192,0.5,0.5
5.0575432,0.0545664,0.5,0.5
5.479005133,0.0591136,0.5,0.5
5.900467067,0.0636608,0.5,0.5
6.321929,0.068208,0.5,0.5
6.743390933,0.0727552,0.5,0.5
7.164852867,0.0773024,0.5,0.5
7.5863148,0.0818496,0.5,0.5
8.007776733,0.0863968,0.5,0.5
8.429238667,0.090944,0.5,0.5
8.8507006,0.0954912,0.5,0.5
9.272162533,0.1000384,0.5,0.5
9.693624467,0.1045856,0.5,0.5
10.1150864,0.1091328,0.5,0.5
10.53654833,0.11368,0.5,0.5
10.95801027,0.1182272,0.5,0.5
11.3794722,0.1227744,0.5,0.5
11.80093413,0.1273216,0.5,0.5
12.22239607,0.1318688,0.5,0.5
12.643858,0.136416,0.5,0.5
