latitude,longitude
40.42729950819392,-86.91797900963253
40.42729582810900,-86.91798117048249
40.42729224231559,-86.91798116963042
40.42728593233605,-86.91797947039822
40.42728255669004,-86.91797680394598
40.42727775322774,-86.91797307687560
40.42727402034804,-86.91796855950739
40.42727180242069,-86.91796207363880
40.42727060350248,-86.91795077895860
40.42726916918019,-86.91794136361911
40.42726916916889,-86.91793383118167
40.42727036375398,-86.91792347409803
40.42727179720852,-86.91791876631954
40.42727609765802,-86.91791186158783
40.42728087591907,-86.91790621225788
40.42728493744740,-86.91790213218691
40.42729019352756,-86.91789930751897
40.42729664418807,-86.91789836595721
40.42730244318727,-86.91790089947403
40.42730631248867,-86.91790692890552
40.42731002332104,-86.91791688319505
40.42731241244169,-86.91792661259775
40.42731336810825,-86.91793445887049
40.42731312918746,-86.91794481599638
40.42731265010010,-86.91795234794492
40.42731193064039,-86.91796050523145
40.42730954025589,-86.91796709227512
40.42730667353403,-86.91797085593245
40.42730452441138,-86.91797556275819
40.42729950819392,-86.91797900963253
