timestamp,object_x,object_y,contour_area
2026-05-01-17-22-26.953974,125,221,77581.0
2026-05-01-17-22-26.986515,125,221,77526.0
2026-05-01-17-22-27.017960,124,219,75844.0
2026-05-01-17-22-27.065150,123,219,75797.5
2026-05-01-17-22-27.096816,123,219,75558.5
2026-05-01-17-22-27.127605,123,219,75573.0
2026-05-01-17-22-27.159104,123,220,75756.0
2026-05-01-17-22-27.189234,123,220,75718.5
2026-05-01-17-22-27.220221,123,219,75458.0
2026-05-01-17-22-27.266801,123,219,75045.5
2026-05-01-17-22-27.297653,123,219,75086.5
2026-05-01-17-22-27.329142,123,219,74985.0
2026-05-01-17-22-27.360535,123,219,75107.0
2026-05-01-17-22-27.391800,123,219,75173.5
2026-05-01-17-22-27.437992,123,218,75197.0
2026-05-01-17-22-27.469526,123,219,75284.5
2026-05-01-17-22-27.501060,571,260,41450.0
2026-05-01-17-22-27.531792,572,260,41266.5
2026-05-01-17-22-27.563126,572,263,39825.5
2026-05-01-17-22-27.611219,572,263,39740.5
2026-05-01-17-22-27.642421,572,263,39747.0
2026-05-01-17-22-27.673737,574,263,38781.5
2026-05-01-17-22-27.704748,575,263,38196.0
2026-05-01-17-22-27.736458,575,263,38092.5
2026-05-01-17-22-27.767693,575,264,37832.5
2026-05-01-17-22-27.813976,576,264,37636.0
2026-05-01-17-22-27.844425,576,264,37431.0
2026-05-01-17-22-27.875255,576,264,37201.5
2026-05-01-17-22-27.906174,577,264,37004.0
2026-05-01-17-22-27.937491,577,264,36931.0
2026-05-01-17-22-27.969529,577,264,36908.0
2026-05-01-17-22-28.001018,577,264,36890.5
2026-05-01-17-22-28.047565,577,265,36940.0
2026-05-01-17-22-28.079061,577,265,36976.5
2026-05-01-17-22-28.110253,577,265,37010.0
2026-05-01-17-22-28.141838,577,265,36963.5
2026-05-01-17-22-28.175328,577,264,36969.0
2026-05-01-17-22-28.212236,577,264,36965.0
2026-05-01-17-22-28.258940,577,264,36973.0
2026-05-01-17-22-28.274528,577,264,37044.0
2026-05-01-17-22-28.329899,576,264,37121.0
2026-05-01-17-22-28.344068,576,264,37193.5
2026-05-01-17-22-28.392395,576,264,37364.0
2026-05-01-17-22-28.421879,576,264,37586.0
2026-05-01-17-22-28.453063,575,264,37743.5
2026-05-01-17-22-28.483560,575,264,38030.0
2026-05-01-17-22-28.529799,575,264,38307.5
2026-05-01-17-22-28.546022,574,264,38513.5
2026-05-01-17-22-28.592469,574,263,38781.0
2026-05-01-17-22-28.624611,574,263,38781.0
2026-05-01-17-22-28.649454,573,263,38854.5
2026-05-01-17-22-28.682273,573,263,38950.0
2026-05-01-17-22-28.716298,573,263,38963.5
2026-05-01-17-22-28.750326,573,263,38930.0
2026-05-01-17-22-28.784546,574,263,38792.5
2026-05-01-17-22-28.828193,574,263,38615.0
2026-05-01-17-22-28.851535,574,263,38395.5
2026-05-01-17-22-28.888947,574,262,38176.0
2026-05-01-17-22-28.923783,575,262,37976.5
2026-05-01-17-22-28.959257,575,262,37858.0
2026-05-01-17-22-28.990673,575,262,37672.0
2026-05-01-17-22-29.030315,575,262,37672.0
2026-05-01-17-22-29.061945,575,262,37535.5
2026-05-01-17-22-29.092328,575,262,37402.0
2026-05-01-17-22-29.138345,575,262,37285.0
2026-05-01-17-22-29.169227,576,262,37117.0
2026-05-01-17-22-29.199998,189,245,37630.5
2026-05-01-17-22-29.231702,576,262,36757.0
2026-05-01-17-22-29.263210,577,262,36717.0
2026-05-01-17-22-29.310026,185,244,36660.5
2026-05-01-17-22-29.340499,185,244,36766.5
2026-05-01-17-22-29.371643,190,245,38290.5
2026-05-01-17-22-29.403074,186,244,37002.5
2026-05-01-17-22-29.434515,186,244,37035.0
2026-05-01-17-22-29.480754,186,244,37035.0
2026-05-01-17-22-29.511666,186,244,37031.5
2026-05-01-17-22-29.542151,186,244,36975.5
2026-05-01-17-22-29.572243,186,244,36926.0
2026-05-01-17-22-29.618720,185,244,36816.5
2026-05-01-17-22-29.649637,185,243,36736.0
2026-05-01-17-22-29.677178,185,244,36639.5
2026-05-01-17-22-29.712674,577,263,36808.5
2026-05-01-17-22-29.744019,577,263,36904.5
2026-05-01-17-22-29.791909,576,263,37172.0
2026-05-01-17-22-29.821448,576,263,37378.5
2026-05-01-17-22-29.852268,576,263,37508.5
2026-05-01-17-22-29.882836,576,263,37508.5
2026-05-01-17-22-29.913733,576,263,37567.5
2026-05-01-17-22-29.961094,576,263,37614.5
2026-05-01-17-22-29.992090,576,262,37561.0
2026-05-01-17-22-30.023001,576,262,37464.5
2026-05-01-17-22-30.054670,576,261,37175.0
2026-05-01-17-22-30.086736,190,245,38368.5
2026-05-01-17-22-30.132718,191,245,38906.0
2026-05-01-17-22-30.164002,192,245,39581.5
2026-05-01-17-22-30.195097,194,245,40280.0
2026-05-01-17-22-30.226660,197,245,41880.5
2026-05-01-17-22-30.258610,198,245,42614.0
2026-05-01-17-22-30.290060,199,244,43090.0
2026-05-01-17-22-30.323128,199,244,43090.0
2026-05-01-17-22-30.367209,199,244,43252.5
2026-05-01-17-22-30.397890,199,243,43093.0
2026-05-01-17-22-30.429303,199,242,42566.5
2026-05-01-17-22-30.460525,197,241,41671.5
2026-05-01-17-22-30.507473,195,241,40503.5
2026-05-01-17-22-30.523600,193,241,39189.5
2026-05-01-17-22-30.569683,190,241,37768.0
2026-05-01-17-22-30.600363,570,243,36709.0
2026-05-01-17-22-30.631591,564,245,41216.0
2026-05-01-17-22-30.663275,561,246,43232.5
2026-05-01-17-22-30.694204,559,247,44995.0
2026-05-01-17-22-30.740990,557,248,46644.0
2026-05-01-17-22-30.772142,557,248,46644.0
2026-05-01-17-22-30.803256,555,250,48326.0
2026-05-01-17-22-30.834083,553,252,50085.0
2026-05-01-17-22-30.880241,551,253,51859.5
2026-05-01-17-22-30.911599,549,254,53643.0
2026-05-01-17-22-30.942334,547,256,55265.0
2026-05-01-17-22-30.972577,546,257,56879.5
2026-05-01-17-22-31.004136,544,258,58103.0
2026-05-01-17-22-31.051017,542,259,59735.0
2026-05-01-17-22-31.081842,542,260,60119.5
2026-05-01-17-22-31.113239,543,260,59821.5
2026-05-01-17-22-31.142776,544,261,59145.5
2026-05-01-17-22-31.174000,544,261,59145.5
2026-05-01-17-22-31.220739,546,261,58010.0
2026-05-01-17-22-31.252150,548,262,56575.0
2026-05-01-17-22-31.282835,551,262,54820.0
2026-05-01-17-22-31.329593,554,263,52840.5
2026-05-01-17-22-31.344255,558,263,50444.0
2026-05-01-17-22-31.375520,562,264,47801.5
2026-05-01-17-22-31.422253,566,263,44792.0
2026-05-01-17-22-31.453202,191,243,39727.0
2026-05-01-17-22-31.499285,194,243,41339.0
2026-05-01-17-22-31.529694,197,243,42932.0
2026-05-01-17-22-31.560807,199,242,44235.0
2026-05-01-17-22-31.592189,205,243,46747.0
2026-05-01-17-22-31.619998,205,243,46747.0
2026-05-01-17-22-31.653997,207,243,47698.5
2026-05-01-17-22-31.699587,205,242,47183.0
2026-05-01-17-22-31.731788,203,248,49757.5
2026-05-01-17-22-31.762979,204,248,50299.5
2026-05-01-17-22-31.793822,208,242,48879.0
2026-05-01-17-22-31.824466,209,242,49322.5
2026-05-01-17-22-31.855266,210,241,50288.0
2026-05-01-17-22-31.901736,211,241,50591.5
2026-05-01-17-22-31.922212,212,241,50988.0
2026-05-01-17-22-31.957873,209,247,53239.5
2026-05-01-17-22-31.995661,212,240,51145.0
2026-05-01-17-22-32.041745,213,237,51795.5
2026-05-01-17-22-32.073683,212,247,53378.0
2026-05-01-17-22-32.105445,210,247,52338.5
2026-05-01-17-22-32.135779,211,241,49594.5
2026-05-01-17-22-32.196747,199,245,47011.0
2026-05-01-17-22-32.227909,199,240,44343.5
2026-05-01-17-22-32.259167,197,240,43266.5
2026-05-01-17-22-32.289845,195,240,42223.0
2026-05-01-17-22-32.321033,193,240,41205.5
2026-05-01-17-22-32.351767,192,240,40370.5
2026-05-01-17-22-32.382841,192,240,40370.5
2026-05-01-17-22-32.429873,188,246,40941.5
2026-05-01-17-22-32.460996,189,241,38859.5
2026-05-01-17-22-32.492534,188,241,38288.0
2026-05-01-17-22-32.523304,187,241,37796.0
2026-05-01-17-22-32.554372,184,248,38867.0
2026-05-01-17-22-32.601143,185,242,36788.0
2026-05-01-17-22-32.631920,185,242,36714.0
2026-05-01-17-22-32.663226,185,242,36457.5
2026-05-01-17-22-32.694378,184,243,36309.0
2026-05-01-17-22-32.725907,184,243,36247.0
2026-05-01-17-22-32.756953,184,243,36146.5
2026-05-01-17-22-32.802168,579,265,35818.0
2026-05-01-17-22-32.833539,579,265,35818.0
2026-05-01-17-22-32.864555,578,264,36136.5
2026-05-01-17-22-32.895185,577,264,36503.5
2026-05-01-17-22-32.926136,576,264,36878.5
2026-05-01-17-22-32.958109,576,263,37258.0
2026-05-01-17-22-33.004066,574,262,38198.5
2026-05-01-17-22-33.035943,573,260,38737.5
2026-05-01-17-22-33.065792,571,259,39276.0
2026-05-01-17-22-33.096899,570,258,39703.5
2026-05-01-17-22-33.142554,569,257,40092.0
2026-05-01-17-22-33.174361,568,256,40507.5
2026-05-01-17-22-33.206647,567,255,40973.0
2026-05-01-17-22-33.237953,566,254,41431.0
2026-05-01-17-22-33.269359,566,254,41431.0
2026-05-01-17-22-33.301468,565,253,41992.5
2026-05-01-17-22-33.348081,563,252,42651.5
2026-05-01-17-22-33.378805,562,251,43382.0
2026-05-01-17-22-33.410442,559,248,44832.0
2026-05-01-17-22-33.442196,557,247,45460.5
2026-05-01-17-22-33.473703,556,246,45917.0
2026-05-01-17-22-33.505831,555,245,46263.0
2026-05-01-17-22-33.536906,555,245,46656.5
2026-05-01-17-22-33.583312,554,244,46886.5
2026-05-01-17-22-33.614459,554,244,47120.0
2026-05-01-17-22-33.645481,553,244,47163.5
2026-05-01-17-22-33.677016,553,244,47163.5
2026-05-01-17-22-33.723334,553,244,47077.5
2026-05-01-17-22-33.755700,554,244,46692.5
2026-05-01-17-22-33.785710,555,245,46279.5
2026-05-01-17-22-33.817155,558,246,45075.5
2026-05-01-17-22-33.847960,559,247,44474.5
2026-05-01-17-22-33.878742,561,248,43887.5
2026-05-01-17-22-33.925316,562,249,43464.5
2026-05-01-17-22-33.956254,563,250,43080.5
2026-05-01-17-22-33.987476,564,251,42689.5
2026-05-01-17-22-34.018438,564,252,42585.5
2026-05-01-17-22-34.049326,565,252,42494.5
2026-05-01-17-22-34.081378,565,253,42562.0
2026-05-01-17-22-34.127821,565,253,42562.0
2026-05-01-17-22-34.158683,565,254,42715.0
2026-05-01-17-22-34.190841,565,254,42922.5
2026-05-01-17-22-34.221441,564,254,43387.0
2026-05-01-17-22-34.252952,564,254,43499.0
2026-05-01-17-22-34.284684,564,254,43562.5
2026-05-01-17-22-34.331819,564,254,43602.0
2026-05-01-17-22-34.362614,564,255,43714.0
2026-05-01-17-22-34.392685,564,255,43593.5
2026-05-01-17-22-34.424320,565,256,43396.5
2026-05-01-17-22-34.455601,565,257,43213.5
2026-05-01-17-22-34.501742,566,257,43005.5
2026-05-01-17-22-34.533466,566,258,42699.5
2026-05-01-17-22-34.564278,566,258,42699.5
2026-05-01-17-22-34.588851,567,258,42504.0
2026-05-01-17-22-34.626057,568,260,42008.5
2026-05-01-17-22-34.657652,568,260,41827.5
