latitude,longitude
40.46214805861602,-86.92995023275776
40.46215257087142,-86.92994829836016
40.46215531520214,-86.9299485020939
40.46215903311736,-86.92994863177066
40.46216237168682,-86.92994887456439
40.46216582242123,-86.92994912870537
40.46216867818389,-86.92994941382841
40.46217261889166,-86.92994963799816
40.46217828300929,-86.92995006206155
40.46218661334876,-86.92995090249423
40.46218949824492,-86.92995111764509
40.46219768109155,-86.92995180562217
40.46220551753236,-86.92995239006633
40.46220986171382,-86.92995310233503
40.46221605382973,-86.92995356575875
40.4622222915236,-86.92995434151486
40.46222766027769,-86.92995474204754
40.46223101671451,-86.92995514913245
40.46223744805579,-86.92995563101947
40.46224104967472,-86.92995589909386
40.4622453021947,-86.92995621561697
40.46224985174755,-86.92995655424907
40.46225554037323,-86.92995651493727
40.46226081601847,-86.92995690892548
40.46226539732524,-86.92995703626069
40.46226733457539,-86.92995718024073
40.4622719810066,-86.92995731479697
40.46227636207972,-86.9299584219678
40.46228161661904,-86.92995846374575
40.46228614678567,-86.92995880322854
40.46229003900535,-86.9299588815576
40.46229510847338,-86.92995926145277
40.46230021958262,-86.9299599289114
40.46230331822279,-86.92995959220181
40.46230860387676,-86.92995998808593
40.46231271019681,-86.92996050307427
40.46231466156127,-86.92996064655948
40.46231903949081,-86.92996097341246
40.46232436971017,-86.9299608605462
40.46232845193556,-86.92996116632186
40.46233332807214,-86.92996153156594
40.46233865799564,-86.92996193078903
40.46234676988249,-86.92996253679247
40.46235093029737,-86.92996254620886
40.46235736995686,-86.92996510885853
40.46236658925248,-86.92996796811927
40.46237781934355,-86.92997392205564
40.46238506874415,-86.92998358412343
40.46239428583544,-86.92999141192428
40.46240140192943,-86.93000072452813
40.46241045840756,-86.93000142595992
40.46241669291996,-86.93000254401439
40.46241939732084,-86.93001126821783
40.46241919240102,-86.93002015014049
40.46241969638915,-86.93002616342196
40.46241941801197,-86.9300323703107
40.46241909929299,-86.93003946149611
40.46241876318173,-86.93004692917543
40.46241868330961,-86.93005302333047
40.46241809790781,-86.93005957824032
40.46241877013068,-86.93006609759261
40.46241812087094,-86.93007618328001
40.46241773401104,-86.93008261460373
40.46241377534491,-86.9300868610531
40.46240745193315,-86.93008573984136
40.46240321725812,-86.93008541274195
40.46239752493678,-86.93008571292134
40.46238779461159,-86.93008552561687
40.46237824634415,-86.93008547822258
40.46237187253823,-86.93008498607453
40.46236395245091,-86.93008379907461
40.46235600320612,-86.93008317791391
40.46235087354296,-86.93008218955859
40.462344428133,-86.93008133230245
40.46233674847554,-86.93008073362077
40.4623306368976,-86.93008036600735
40.46232474093533,-86.9300792024358
40.46231819679522,-86.93007880617904
40.46231099014952,-86.93007951160372
40.46230541691681,-86.93007896129551
40.46230131711388,-86.9300786453105
40.46229524107283,-86.93007773833355
40.46228499699357,-86.93007694314433
40.46227616476287,-86.93007565260845
40.46226701939354,-86.9300756842176
40.462260252604,-86.93007454498175
40.4622533515292,-86.93007400859936
40.46224208289316,-86.93007297104143
40.46223312268524,-86.93007212300012
40.46222235843624,-86.93007037068595
40.46221488990527,-86.93006978573321
40.46220632213898,-86.9300706309017
40.46219805973995,-86.93006983541443
40.46218911586665,-86.93006912367228
40.46218175968369,-86.93006885112395
40.46217606544484,-86.93006749712447
40.46217412078786,-86.93006719508048
40.46217033276622,-86.93006690158134
40.46216401934576,-86.93006641242897
40.46215793555935,-86.93006594106429
40.46215387759929,-86.93006396128825
40.46214843483866,-86.93006231232799
40.46214257814008,-86.93005934603309
40.46213803662631,-86.93005262906081
40.46213564687805,-86.93004339882062
40.46213288995939,-86.93003095126498
40.46213191074992,-86.9300243359208
40.46213240375088,-86.93001329745638
40.46213291305989,-86.93000192809143
40.46213322816622,-86.92999491324147
40.46213564486841,-86.9299865564236
40.46213603448651,-86.92997787998816
40.46213791896452,-86.92997283516851
40.46213945781519,-86.92996126973325
40.46214181029011,-86.92995427438791
40.46214805861602,-86.92995023275776
